モデルの不均衡を確認するにはどうすればいいですか?,Amazon SageMaker Clarify は、ML ワークフロー全体にわたって統計的バイアスを検出することで、モデルの透明性を向上させます。SageMaker Clarify は、データの準備中、トレーニング後、および時間の経過に伴って不均衡をチェックし、ML モデルとその予測を説明するのに役立つツールも備えています。結果は、説明可能性レポートを通じて共有できます。
Amazon SageMaker Clarify はどのようなバイアスを検出しますか?,ML モデルのバイアス測定は、バイアスを軽減するための最初のステップです。バイアスは、トレーニング前とトレーニング後、およびデプロイされたモデルの推論で測定できます。バイアスの各尺度は、異なる公平性の概念に対応します。単純な公平性の概念を考慮するだけでも、さまざまなコンテキストに適用できるさまざまな尺度が生まれます。アプリケーションと調査中の状況に有効なバイアスの概念とメトリクスを選択する必要があります。SageMaker は現在、トレーニング データ (SageMaker データ準備の一部として)、トレーニング済みモデル (Amazon SageMaker Experiments の一部として)、およびデプロイされたモデルの推論 (Amazon SageMaker Model Monitor の一部として) のさまざまなバイアス メトリクスの計算をサポートしています。たとえば、トレーニング前には、トレーニング データが代表的であるかどうか (つまり、1 つのグループが過小評価されているかどうか)、およびグループ間でラベル分布に違いがあるかどうかを確認するためのメトリクスを提供します。トレーニング後またはデプロイ中に、メトリクスは、モデルのパフォーマンスがグループ間で異なるかどうか (およびどの程度異なるか) を測定するのに役立ちます。たとえば、エラー率 (モデルの予測が実際のラベルと異なる可能性) を比較することから始めるか、さらに精度 (肯定的な予測が正しい可能性) と再現率 (モデルが肯定的な例を正しくラベル付けする可能性) に細分化します。
Amazon SageMaker Clarify はモデルの説明可能性をどのように向上させますか?,Amazon SageMaker Clarify は Amazon SageMaker Experiments と統合されており、モデルのトレーニング後にモデルの全体的な意思決定プロセスにおける各入力の重要性を詳細に示す機能重要度グラフを提供します。これらの詳細は、特定のモデル入力が全体的なモデルの動作に必要以上の影響を与えているかどうかを判断するのに役立ちます。SageMaker Clarify では、個々の予測の説明も API 経由で利用できます。
Amazon SageMaker Studio とは何ですか?,Amazon SageMaker Studio は、すべての ML 開発ステップを実行できる単一の Web ベースのビジュアルインターフェイスを提供します。SageMaker Studio を使用すると、データの準備、モデルの構築、トレーニング、デプロイに必要な各ステップに完全にアクセス、制御、および可視化できます。データのアップロード、新しいノートブックの作成、モデルのトレーニングと調整、ステップ間の移動による実験の調整、結果の比較、モデルの本番環境へのデプロイをすべて 1 か所で実行できるため、生産性が大幅に向上します。ノートブック、実験管理、自動モデル作成、デバッグとプロファイリング、モデルドリフト検出などのすべての ML 開発アクティビティは、統合された SageMaker Studio ビジュアルインターフェイス内で実行できます。
Amazon SageMaker の RStudio とは何ですか?,Amazon SageMaker の RStudio は、クラウドで初めての完全に管理された RStudio Workbench です。使い慣れた RStudio 統合開発環境 (IDE) をすばやく起動し、作業を中断することなく基盤となるコンピューティング リソースを調整できるため、大規模な R での機械学習 (ML) および分析ソリューションの構築が容易になります。R および Python 開発では、RStudio IDE と Amazon SageMaker Studio ノートブックをシームレスに切り替えることができます。コード、データセット、リポジトリ、その他の成果物を含むすべての作業は、2 つの環境間で自動的に同期されるため、コンテキストの切り替えが減り、生産性が向上します。
" Amazon SageMaker Studio の料金体系はどのようになっていますか?",Amazon SageMaker Studio の使用には追加料金はかかりません。Amazon SageMaker Studio 内で使用するサービスについて、基礎となるコンピューティングとストレージの料金のみをお支払いいただきます。
Amazon SageMaker Studio はどのリージョンでサポートされていますか?,Amazon SageMaker Studio がサポートされているリージョンについては、こちらのドキュメントをご覧ください。
Amazon SageMaker はどのような ML ガバナンスツールを提供していますか?,Amazon SageMaker は、ML ライフサイクル全体にわたって専用の ML ガバナンスツールを提供します。SageMaker Role Manager を使用すると、管理者は数分で最小限の権限を定義できます。SageMaker モデルカードを使用すると、構想から展開まで重要なモデル情報を簡単にキャプチャ、取得、共有できます。また、SageMaker モデルダッシュボードを使用すると、本番環境のモデルの動作に関する情報をすべて 1 か所で入手できます。詳細を表示します。
Amazon SageMaker ロールマネージャーは何をするのですか?,Amazon SageMaker Role Manager を使用すると、最小限のアクセス許可を数分で定義できます。SageMaker Role Manager は、事前構築された IAM ポリシーのカタログを使用して、ML アクティビティとペルソナのベースラインのアクセス許可セットを提供します。ベースラインのアクセス許可をそのまま使用することも、特定のニーズに基づいてさらにカスタマイズすることもできます。いくつかのセルフガイドプロンプトを使用すると、ネットワークアクセス境界や暗号化キーなどの一般的なガバナンス構造をすばやく入力できます。その後、SageMaker Role Manager は IAM ポリシーを自動的に生成します。生成されたロールと関連するポリシーは、AWS IAM コンソールから確認できます。ユースケースに合わせてアクセス許可をさらに調整するには、SageMaker Role Manager で作成した IAM ロールにマネージド IAM ポリシーをアタッチします。また、タグを追加して、ロールを識別し、AWS のサービス全体で整理することもできます。
Amazon SageMaker モデルカードは何をするのですか?,Amazon SageMaker モデルカードは、モデル情報の唯一の信頼できる情報源を作成することで、ML ライフサイクル全体にわたってモデルドキュメントを一元管理および標準化するのに役立ちます。SageMaker モデルカードはトレーニングの詳細を自動的に入力し、ドキュメント作成プロセスを加速します。モデルの目的やパフォーマンス目標などの詳細を追加することもできます。モデル評価結果をモデルカードに添付し、視覚化を提供してモデルのパフォーマンスに関する重要な洞察を得ることができます。SageMaker モデルカードは、PDF 形式でエクスポートすることで、他のユーザーと簡単に共有できます。
Amazon SageMaker モデルダッシュボードは何をするのですか?,Amazon SageMaker モデルダッシュボードでは、デプロイされたモデルとエンドポイントの包括的な概要が提供され、1 つのペインでリソースとモデルの動作違反を追跡できます。Amazon SageMaker モデルモニターおよび Amazon SageMaker Clarify との統合により、データとモデルの品質、バイアスと特徴帰属ドリフトを含む 4 つの側面でモデルの動作を監視できます。SageMaker モデルダッシュボードでは、欠落しているモデル監視ジョブや非アクティブなモデル監視ジョブ、モデル品質、データ品質、バイアスドリフト、特徴帰属ドリフトに関するモデル動作の偏差に関するアラートを設定および受信するための統合エクスペリエンスも提供されます。個々のモデルをさらに検査し、時間の経過とともにモデルのパフォーマンスに影響を与える要因を分析できます。その後、ML 実践者とフォローアップして是正措置を講じることができます。
Amazon SageMaker Autopilot とは何ですか?,Amazon SageMaker Autopilot は、ML モデルを完全に制御し、可視化できる業界初の自動化された機械学習機能です。SageMaker Autopilot は、生データを自動的に検査し、機能プロセッサを適用し、最適なアルゴリズムのセットを選択し、複数のモデルをトレーニングおよび調整し、そのパフォーマンスを追跡し、パフォーマンスに基づいてモデルをランク付けします。これらはすべて、数回クリックするだけで実行できます。その結果、通常モデルのトレーニングに必要な時間のほんの一部でデプロイできる、最高のパフォーマンスを発揮するモデルが完成します。モデルの作成方法と内容を完全に可視化できる SageMaker Autopilot は、Amazon SageMaker Studio と統合されています。SageMaker Studio 内で SageMaker Autopilot によって生成された最大 50 種類のモデルを探索できるため、ユースケースに最適なモデルを簡単に選択できます。SageMaker Autopilot は、ML の経験がない人でも簡単にモデルを作成するために使用できます。また、経験豊富な開発者がベースライン モデルをすばやく開発して、チームがさらに反復処理できるようにするためにも使用できます。
Amazon SageMaker Autopilot ではどのような組み込みアルゴリズムがサポートされていますか?,Amazon SageMaker Autopilot は、XGBoost と Linear Learner という 2 つの組み込みアルゴリズムをサポートしています。
Amazon SageMaker Autopilot ジョブを手動で停止できますか?,はい。ジョブはいつでも停止できます。Amazon SageMaker Autopilot ジョブが停止されると、進行中のすべてのトライアルが停止され、新しいトライアルは開始されません。
Amazon SageMaker をすぐに使い始めるにはどうすればよいですか?,Amazon SageMaker JumpStart を使用すると、ML をすばやく簡単に開始できます。SageMaker JumpStart は、数回クリックするだけですぐにデプロイできる、最も一般的なユースケース向けのソリューションのセットを提供します。ソリューションは完全にカスタマイズ可能で、AWS CloudFormation テンプレートとリファレンスアーキテクチャの使用方法を紹介しているため、ML の導入を加速できます。SageMaker JumpStart は、トランスフォーマー、オブジェクト検出、画像分類モデルなど、150 を超える人気のオープンソースモデルのワンクリックデプロイと微調整もサポートしています。
Amazon SageMaker JumpStart ではどのオープンソースモデルがサポートされていますか?,Amazon SageMaker JumpStart には、PyTorch Hub と TensorFlow Hub の 150 以上の事前トレーニング済みオープンソースモデルが含まれています。画像分類やオブジェクト検出などのビジョンタスクでは、ResNet、MobileNet、Single-Shot Detector (SSD) などのモデルを使用できます。文章分類、テキスト分類、質問回答などのテキストタスクでは、BERT、RoBERTa、DistilBERT などのモデルを使用できます。
" Amazon SageMaker JumpStart にはどのようなソリューションがあらかじめ組み込まれていますか?",SageMaker JumpStart には、ソリューションを本番環境に導入するために必要なすべての AWS サービスが事前設定されたソリューションが含まれています。ソリューションは完全にカスタマイズ可能なので、特定のユースケースやデータセットに合わせて簡単に変更できます。需要予測、不正検出、予測メンテナンスなど 15 を超えるユースケースにソリューションを使用でき、数回クリックするだけで簡単にソリューションをデプロイできます。利用可能なすべてのソリューションの詳細については、SageMaker の開始ページをご覧ください。
組織内の他のユーザーと ML 成果物を共有するにはどうすればよいですか?,Amazon SageMaker JumpStart を使用すると、データ サイエンティストや ML 開発者は、ノートブックやモデルなどの ML アーティファクトを組織内で簡単に共有できます。管理者は、定義された一連のユーザーがアクセスできるリポジトリを設定できます。リポジトリにアクセスする権限を持つすべてのユーザーは、モデルやノートブック、および SageMaker JumpStart 内のパブリック コンテンツを参照、検索、使用できます。ユーザーはアーティファクトを選択して、SageMaker JumpStart でモデルをトレーニングし、エンドポイントをデプロイし、ノートブックを実行できます。
組織内の他のユーザーと ML アーティファクトを共有するために Amazon SageMaker JumpStart を使用する必要があるのはなぜですか?,Amazon SageMaker JumpStart を使用すると、ML アプリケーションを構築する際の市場投入までの時間を短縮できます。組織内の 1 つのチームによって構築されたモデルとノートブックは、数回クリックするだけで組織内の他のチームと簡単に共有できます。社内の知識共有とアセットの再利用により、組織の生産性が大幅に向上します。
"Amazon SageMaker JumpStart の料金体系はどのようになっていますか?",トレーニングジョブやエンドポイントなど、Amazon SageMaker JumpStart から起動された AWS サービスに対しては、SageMaker の料金に基づいて課金されます。SageMaker JumpStart の使用には追加料金はかかりません。
Amazon SageMaker Canvas とは何ですか?,Amazon SageMaker Canvas は、直感的なポイントアンドクリックインターフェイスを備えたコード不要のサービスで、データから高精度の ML ベースの予測を作成できます。SageMaker Canvas を使用すると、ドラッグアンドドロップのユーザーインターフェイスを使用してさまざまなソースのデータにアクセスして組み合わせることができ、データを自動的にクリーニングして準備することで、手動のクリーンアップを最小限に抑えることができます。SageMaker Canvas は、さまざまな最先端の ML アルゴリズムを適用して高精度の予測モデルを見つけ、予測を行うための直感的なインターフェイスを提供します。SageMaker Canvas を使用すると、さまざまなビジネスアプリケーションでより正確な予測を行うことができ、モデル、データ、レポートを共有することで、企業内のデータサイエンティストやアナリストと簡単にコラボレーションできます。SageMaker Canvas の詳細については、SageMaker Canvas の FAQ ページをご覧ください。
" Amazon SageMaker Canvas の料金体系はどのようになっていますか?",Amazon SageMaker Canvas では、使用量に基づいて料金が発生します。SageMaker Canvas を使用すると、複数のソースからデータをインタラクティブに取り込み、調査、準備し、データを使用して高精度の ML モデルをトレーニングし、予測を生成することができます。請求額を決定する要素は 2 つあります。SageMaker Canvas の使用またはログイン時間数に基づくセッション料金と、モデルの構築に使用されたデータセットのサイズに基づくモデルのトレーニング料金です。詳細については、SageMaker Canvas の料金ページをご覧ください。
Amazon SageMaker を使用して継続的インテグレーションおよびデリバリー (CI/CD) パイプラインを構築するにはどうすればよいですか?,Amazon SageMaker Pipelines は、データの準備からモデルのデプロイまで完全に自動化された ML ワークフローの作成を支援し、本番環境で何千もの ML モデルに拡張できるようにします。SageMaker Pipelines には、Amazon SageMaker Studio に接続する Python SDK が付属しており、視覚的なインターフェイスを利用してワークフローの各ステップを構築できます。次に、単一の API を使用して各ステップを接続し、エンドツーエンドのワークフローを作成できます。SageMaker Pipelines は、ステップ間のデータの管理、コードレシピのパッケージ化、実行のオーケストレーションを担当し、数か月かかるコーディングを数時間に短縮します。ワークフローが実行されるたびに、処理されたデータと実行されたアクションの完全な記録が保持されるため、データサイエンティストと ML 開発者は問題をすばやくデバッグできます。
トレーニング済みのすべてのモデルを表示して、本番環境に移行する最適なモデルを選択するにはどうすればよいですか?,Amazon SageMaker Pipelines は、モデルレジストリと呼ばれるトレーニング済みモデルの中央リポジトリを提供します。SageMaker Studio を介して視覚的にモデルを検出し、モデルレジストリにアクセスしたり、Python SDK を介してプログラム的にモデルを検出したりできるため、本番環境にデプロイする目的のモデルを簡単に選択できます。
Amazon SageMaker のどのコンポーネントを Amazon SageMaker Pipelines に追加できますか?,Amazon SageMaker Studio を通じて利用できるコンポーネント (Amazon SageMaker Amazon Clarify、Amazon SageMaker Data Wrangler、Amazon SageMaker Feature Store、Amazon SageMaker Experiments、Amazon SageMaker Debugger、Amazon SageMaker Model Monitor など) を SageMaker Pipelines に追加できます。
ML ワークフロー全体でモデル コンポーネントを追跡するにはどうすればよいですか?,Amazon SageMaker Pipelines は、すべてのモデル構成要素を自動的に追跡し、すべての変更の監査証跡を保持するため、手動での追跡が不要になり、コンプライアンス目標の達成に役立ちます。SageMaker Pipelines を使用すると、データ、コード、トレーニング済みモデルなどを追跡できます。
Amazon SageMaker Pipelines の料金体系はどのようになっていますか?,Amazon SageMaker Pipelines には追加料金はかかりません。基盤となるコンピューティングまたは SageMaker Pipelines 内で使用する個別の AWS サービスに対してのみ料金をお支払いいただきます。
Kubeflow を Amazon SageMaker で使用できますか?,はい。Kubeflow Pipelines 用の Amazon SageMaker コンポーネントはオープンソースのプラグインであり、これを使用すると、Kubeflow Pipelines を使用して ML ワークフローを定義し、データのラベル付け、トレーニング、推論の手順に SageMaker を使用できます。Kubeflow Pipelines は Kubeflow のアドオンであり、ポータブルでスケーラブルなエンドツーエンドの ML パイプラインを構築およびデプロイできます。ただし、Kubeflow Pipelines を使用する場合、ML 運用チームは CPU および GPU インスタンスを使用して Kubernetes クラスターを管理し、その使用率を常に高く保って運用コストを削減する必要があります。データサイエンスチーム全体でクラスターの使用率を最大化することは困難であり、ML 運用チームに追加の運用オーバーヘッドが追加されます。 ML に最適化された Kubernetes クラスターの代替として、SageMaker Components for Kubeflow Pipelines を使用すると、データのラベル付け、フルマネージド型の大規模なハイパーパラメータ調整と分散トレーニングジョブ、ワンクリックの安全でスケーラブルなモデルデプロイメント、Amazon EC2 スポットインスタンスによるコスト効率の高いトレーニングなど、強力な SageMaker 機能を活用できます。ML ジョブを実行するために Kubernetes クラスターを特別に構成および管理する必要はありません。
Kubeflow Pipelines 用の Amazon SageMaker コンポーネントの料金体系はどのようになっていますか?,Kubeflow Pipelines 用の Amazon SageMaker コンポーネントの使用には追加料金はかかりません。
Amazon SageMaker はどのようにして ML 用のデータを準備するのでしょうか?,Amazon SageMaker Data Wrangler は、ML 用のデータの集約と準備にかかる時間を短縮します。Amazon SageMaker Studio の単一のインターフェイスから、Amazon S3、Amazon Athena、Amazon Redshift、AWS Lake Formation、Amazon SageMaker Feature Store、Snowflake から数回クリックするだけでデータを参照およびインポートできます。また、40 を超えるデータソースから転送され、Amazon AppFlow によって AWS Glue Data Catalog に登録されたデータをクエリしてインポートすることもできます。SageMaker Data Wrangler は、生データを自動的に読み込み、集約して表示します。データを SageMaker Data Wrangler にインポートすると、自動的に生成された列の概要とヒストグラムが表示されます。その後、SageMaker Data Wrangler のデータ品質とインサイト レポートを使用して、データをさらに深く理解し、潜在的なエラーを特定できます。このレポートには、概要統計とデータ品質の警告が表示されます。Amazon SageMaker Clarify でサポートされているバイアス分析を SageMaker Data Wrangler から直接実行して、データ準備中に潜在的なバイアスを検出することもできます。そこから、SageMaker Data Wrangler の事前構築された変換を使用してデータを準備できます。データが準備されると、Amazon SageMaker Pipelines を使用して完全に自動化された ML ワークフローを構築したり、そのデータを Amazon SageMaker Feature Store にインポートしたりできます。
Amazon SageMaker Data Wrangler を使用してモデル機能を作成するにはどうすればよいですか?,Amazon SageMaker Data Wrangler は、コードを 1 行も書かずに、データを自動的に新しい機能に変換できます。SageMaker Data Wrangler は、事前設定されたデータ変換、欠損データの補完、ワンホットエンコーディング、主成分分析 (PCA) を使用した次元削減、および時系列固有のトランスフォーマーの選択肢を提供します。たとえば、テキストフィールド列を 1 回のクリックで数値列に変換できます。SageMaker Data Wrangler のスニペットライブラリからコードスニペットを作成することもできます。
Amazon SageMaker Data Wrangler でデータを視覚化するにはどうすればよいですか?,Amazon SageMaker Data Wrangler は、堅牢な事前設定された視覚化テンプレートのセットを使用して、データを理解し、潜在的なエラーや極端な値を特定するのに役立ちます。ヒストグラム、散布図、ターゲット漏洩検出などの ML 固有の視覚化はすべて、コードを 1 行も記述せずに利用できます。独自の視覚化を作成および編集することもできます。
Amazon SageMaker Data Wrangler の料金体系はどのようになっていますか?,Amazon SageMaker Data Wrangler で使用するすべての ML コンピューティング、ストレージ、およびデータ処理リソースに対して料金が発生します。SageMaker Data Wrangler の料金の詳細は、こちらで確認できます。AWS 無料利用枠の一部として、SageMaker Data Wrangler を無料で使い始めることもできます。
Amazon SageMaker Data Wrangler で準備されたデータを使用して機械学習モデルをトレーニングするにはどうすればよいですか?,Amazon SageMaker Data Wrangler は、Amazon SageMaker Autopilot でデータを準備し、機械学習モデルをシームレスにトレーニングできる統合エクスペリエンスを提供します。SageMaker Autopilot は、データに基づいて最適な ML モデルを自動的に構築、トレーニング、調整します。SageMaker Autopilot を使用すると、データとモデルの完全な制御と可視性を維持できます。また、SageMaker Data Wrangler で準備された機能を既存のモデルで使用することもできます。ユーザーインターフェイス (UI) でジョブを設定するか、オーケストレーションコードを含むノートブックをエクスポートすることにより、Amazon SageMaker Data Wrangler 処理ジョブを SageMaker トレーニングパイプラインの一部として実行するように設定できます。
履歴データに基づいて機能を準備した場合、Amazon SageMaker Data Wrangler は新しいデータをどのように処理しますか?,SageMaker Data Wrangler UI から直接 Amazon SageMaker 処理ジョブを設定および起動できます。これには、データ処理ジョブのスケジュール設定や、データソースのパラメータ化などがあり、大規模な新しいデータバッチを簡単に変換できます。
Amazon SageMaker Data Wrangler は CI/CD プロセスとどのように連携しますか?,データの準備ができたら、Amazon SageMaker Data Wrangler は SageMaker Data Wrangler フローを本番環境にプロモートするためのさまざまなオプションを提供し、MLOps および CI/CD 機能とシームレスに統合します。SageMaker Data Wrangler UI から直接 SageMaker 処理ジョブを設定して起動できます。これには、データ処理ジョブのスケジュール設定や、データソースのパラメータ化などがあり、大規模な新しいデータバッチを簡単に変換できます。また、SageMaker Data Wrangler は SageMaker 処理および SageMaker Spark コンテナとシームレスに統合されるため、SageMaker SDK を使用して SageMaker Data Wrangler を本番ワークフローに簡単に統合できます。
"Amazon SageMaker Data Wrangler Quick Model はどのモデルを使用しますか?",Amazon SageMaker Data Wrangler は、ボタンを数回クリックするだけで、デフォルトのハイパーパラメータを使用して XGBoost モデルを分割してトレーニングします。問題の種類に基づいて、SageMaker Data Wrangler はモデルの概要、機能の概要、混同行列を提供し、データ準備フローを反復できるように迅速に洞察を提供します。
" Amazon SageMaker Data Wrangler はどのくらいのサイズのデータをサポートしますか?",Amazon SageMaker Data Wrangler は、データのインポートにトップ K、ランダム、層別サンプリングなどのさまざまなサンプリング手法をサポートしているため、SageMaker Data Wrangler の UI を使用してデータをすばやく変換できます。大規模または幅広いデータセットを使用している場合は、SageMaker Data Wrangler インスタンスのサイズを増やしてパフォーマンスを向上させることができます。フローを作成したら、SageMaker Data Wrangler 処理ジョブを使用してデータセット全体を処理できます。
Amazon SageMaker Data Wrangler は Amazon SageMaker Feature Store と連携しますか?,Amazon SageMaker Data Wrangler で準備された機能の保存先として、Amazon SageMaker Feature Store を設定できます。これは UI で直接行うことも、SageMaker Feature Store を保存先としてデータ処理用に特別に生成されたノートブックをエクスポートすることもできます。
ML モデルの特徴をどのように保存しますか?,Amazon SageMaker Feature Store は、低レイテンシー (ミリ秒単位) の読み取りと書き込みを備えたデータ機能の中央リポジトリを提供します。SageMaker Feature Store を通じて機能を保存、取得、検出、共有できるため、安全なアクセスと制御により、モデルやチーム間で簡単に再利用できます。SageMaker Feature Store は、バッチまたはストリーミング パイプラインを介して生成されたオンライン機能とオフライン機能の両方をサポートしています。機能のバックフィルをサポートし、オンライン ストアとオフライン ストアの両方を提供して、モデルのトレーニングと推論で使用される機能間の整合性を維持します。
オンライン機能とオフライン機能の一貫性を維持するにはどうすればよいですか?,Amazon SageMaker Feature Store は、追加の管理やコードなしで、オンライン機能とオフライン機能間の一貫性を自動的に維持します。SageMaker Feature Store は完全に管理されており、トレーニング環境と推論環境全体で一貫性を維持します。
特定の瞬間の特徴を再現するにはどうすればよいでしょうか?,Amazon SageMaker Feature Store は、すべての特徴のタイムスタンプをあらゆる時点で保持します。これにより、ビジネス要件やコンプライアンス要件に応じて、任意の期間に特徴を取得できます。特定の時点からモデルを再現することで、モデルの特徴とその値が最初に作成されたときから現在まで簡単に説明できます。
オフライン機能とは何ですか?,オフライン機能は、長期間にわたって非常に大きなボリュームにアクセスする必要があるため、トレーニングに使用されます。これらの機能は、高スループット、高帯域幅のリポジトリから提供されます。
オンライン機能とは何ですか?,オンライン機能は、リアルタイム予測が必要なアプリケーションで使用されます。オンライン機能は、高速予測のために 1 桁ミリ秒のレイテンシで高スループット リポジトリから提供されます。
Amazon SageMaker Feature Store の料金体系はどのようになっていますか?,Amazon SageMaker Feature Store は、AWS 無料利用枠の一部として無料で開始できます。SageMaker Feature Store では、機能ストアへの書き込み、およびオンライン機能ストアからの読み取りと保存に対して料金が発生します。料金の詳細については、SageMaker の料金ページをご覧ください。
Amazon SageMaker はデータのラベル付けに何を提供しますか?,Amazon SageMaker は、Amazon SageMaker Ground Truth Plus と Amazon SageMaker Ground Truth という 2 つのデータラベリングサービスを提供しています。どちらのオプションでも、画像、テキストファイル、動画などの生データを識別し、有益なラベルを追加して、ML モデル用の高品質なトレーニングデータセットを作成できます。詳細については、SageMaker データラベリングの Web ページをご覧ください。
地理空間データとは何ですか?,地理空間データは、地球の表面上の特徴やオブジェクトを表します。地理空間データの 1 つ目のタイプはベクター データで、ポイント、ライン、ポリゴンなどの 2 次元ジオメトリを使用して、道路や土地の境界などのオブジェクトを表します。地理空間データの 2 つ目のタイプはラスター データで、衛星、航空プラットフォーム、リモート センシング データによってキャプチャされた画像などです。このデータ タイプは、ピクセルのマトリックスを使用して、特徴の位置を定義します。さまざまなデータを保存するためにラスター形式を使用できます。地理空間データの 3 つ目のタイプは、ジオタグ付き位置データです。これには、エッフェル塔などの興味のあるポイント、位置がタグ付けされたソーシャル メディアの投稿、緯度と経度の座標、またはさまざまなスタイルや形式の住所が含まれます。
Amazon SageMaker の地理空間機能とは何ですか?,Amazon SageMaker の地理空間機能により、データサイエンティストや機械学習 (ML) エンジニアは、地理空間データを使用して予測を行うための ML モデルの構築、トレーニング、デプロイが容易になります。Amazon S3 から Planet Labs の衛星データなどの独自のデータを持ち込んだり、AWS のオープンデータ、Amazon Location Service、その他の Amazon SageMaker 地理空間データソースからデータを取得したりできます。
Amazon SageMaker で地理空間 ML を使用する必要があるのはなぜですか?,Amazon SageMaker の地理空間機能を使用すると、DIY ソリューションよりも速く地理空間データの予測を行うことができます。Amazon SageMaker の地理空間機能により、既存の顧客データレイク、オープンソースデータセット、その他の Amazon SageMaker 地理空間データソースから地理空間データに簡単にアクセスできます。Amazon SageMaker の地理空間機能は、効率的なデータ準備、モデルトレーニング、推論のための専用アルゴリズムを提供することで、カスタムインフラストラクチャとデータ前処理機能を構築する必要性を最小限に抑えます。また、Amazon SageMaker Studio からカスタム視覚化とデータを作成し、組織と共有することもできます。Amazon SageMaker の地理空間機能には、農業、不動産、保険、金融サービスで一般的に使用される事前トレーニング済みモデルが含まれています。
